"GID","SYMBOL","GENENAME"
106885904,"LOC106885904","partitioning defective 6 homolog gamma-like"
106885905,"LOC106885905","uncharacterized LOC106885905"
106885906,"LOC106885906","uncharacterized LOC106885906"
106885907,"LOC106885907","testis-expressed sequence 10 protein homolog"
106885910,"LOC106885910","uncharacterized LOC106885910"
106885917,"LOC106885917","uncharacterized LOC106885917"
106885919,"LOC106885919","chromosome unknown open reading frame, human C18orf63"
106885922,"LOC106885922","uncharacterized LOC106885922"
106885934,"LOC106885934","basic salivary proline-rich protein 1-like"
106885935,"LOC106885935","serine/arginine repetitive matrix protein 3-like"
106885936,"LOC106885936","laminin subunit alpha-3-like"
106885937,"LOC106885937","dynein heavy chain 5, axonemal-like"
106885942,"LOC106885942","sodium-dependent neutral amino acid transporter B(0)AT3-like"
106885943,"LOC106885943","uncharacterized LOC106885943"
106885946,"LOC106885946","growth factor receptor-bound protein 10-like"
106885949,"LOC106885949","uncharacterized LOC106885949"
106885950,"LOC106885950","uncharacterized LOC106885950"
106885953,"LOC106885953","uncharacterized LOC106885953"
106885954,"LOC106885954","interferon alpha-inducible protein 27-like protein 2B"
106885955,"LOC106885955","uncharacterized LOC106885955"
106885956,"LOC106885956","uncharacterized LOC106885956"
106885957,"LOC106885957","uncharacterized LOC106885957"
106885959,"LOC106885959","uncharacterized LOC106885959"
106885960,"LOC106885960","uncharacterized LOC106885960"
106885966,"LOC106885966","uncharacterized LOC106885966"
106885967,"LOC106885967","uncharacterized LOC106885967"
106885968,"LOC106885968","uncharacterized LOC106885968"
106885969,"LOC106885969","uncharacterized LOC106885969"
106885972,"LOC106885972","chromosome unknown open reading frame, human C6orf62"
106885981,"LOC106885981","centrosomal protein of 290 kDa-like"
106885985,"LOC106885985","chromosome unknown open reading frame, human C18orf21"
106885987,"LOC106885987","uncharacterized LOC106885987"
106885996,"LOC106885996","myosin regulatory light chain 2, smooth muscle minor isoform"
106885997,"LOC106885997","myosin regulatory light chain 2, smooth muscle minor isoform-like"
106886003,"LOC106886003","uncharacterized LOC106886003"
106886004,"LOC106886004","poly(rC)-binding protein 3-like"
106886009,"LOC106886009","uncharacterized LOC106886009"
106886013,"LOC106886013","uncharacterized LOC106886013"
106886028,"LOC106886028","uncharacterized LOC106886028"
106886039,"LOC106886039","uncharacterized LOC106886039"
106886043,"LOC106886043","cytochrome b5"
106886080,"LOC106886080","uncharacterized LOC106886080"
106886083,"LOC106886083","leukemia inhibitory factor-like"
106886090,"LOC106886090","uncharacterized LOC106886090"
106886095,"LOC106886095","uncharacterized LOC106886095"
106886104,"LOC106886104","uncharacterized LOC106886104"
106886106,"LOC106886106","uncharacterized LOC106886106"
106886113,"LOC106886113","ubiquitin carboxyl-terminal hydrolase 13"
106886116,"LOC106886116","uncharacterized LOC106886116"
106886125,"LOC106886125","uncharacterized LOC106886125"
106886126,"LOC106886126","uncharacterized LOC106886126"
106886128,"LOC106886128","uncharacterized LOC106886128"
106886135,"LOC106886135","uncharacterized LOC106886135"
106886136,"LOC106886136","coiled-coil domain-containing protein 14-like"
106886148,"LOC106886148","zinc finger protein 148"
106886152,"LOC106886152","multiple epidermal growth factor-like domains protein 6"
106886153,"LOC106886153","uncharacterized LOC106886153"
106886155,"LOC106886155","uncharacterized LOC106886155"
106886156,"LOC106886156","uncharacterized LOC106886156"
106886157,"LOC106886157","uncharacterized LOC106886157"
106886164,"LOC106886164","uncharacterized LOC106886164"
106886166,"LOC106886166","fatty-acid amide hydrolase 1-like"
106886171,"LOC106886171","uncharacterized LOC106886171"
106886179,"LOC106886179","uncharacterized LOC106886179"
106886180,"LOC106886180","uncharacterized LOC106886180"
106886186,"LOC106886186","uncharacterized LOC106886186"
106886188,"LOC106886188","uncharacterized LOC106886188"
106886190,"LOC106886190","uncharacterized LOC106886190"
106886191,"LOC106886191","coiled-coil domain-containing protein 14-like"
106886192,"LOC106886192","uncharacterized LOC106886192"
106886194,"LOC106886194","cytochrome P450 2J2-like"
106886196,"LOC106886196","uncharacterized LOC106886196"
106886201,"LOC106886201","nucleoporin NDC1-like"
106886210,"LOC106886210","vitamin D3 hydroxylase-associated protein-like"
106886212,"LOC106886212","vitamin D3 hydroxylase-associated protein"
106886213,"LOC106886213","phosphatidylinositol 3-kinase regulatory subunit beta-like"
106886214,"LOC106886214","phosphatidylinositol 3-kinase regulatory subunit alpha-like"
106886219,"LOC106886219","arginine-glutamic acid dipeptide repeats protein-like"
106886229,"LOC106886229","very-long-chain enoyl-CoA reductase-like"
106886232,"LOC106886232","hornerin-like"
106886238,"LOC106886238","TGF-beta receptor type-2-like"
106886240,"LOC106886240","selenoprotein Pb-like"
106886242,"LOC106886242","vitellogenin-1-like"
106886246,"LOC106886246","chromosome unknown open reading frame, human C1orf52"
106886247,"LOC106886247","uncharacterized LOC106886247"
106886252,"LOC106886252","vitellogenin-2-like"
106886256,"LOC106886256","NADH-cytochrome b5 reductase-like"
106886263,"LOC106886263","cytochrome P450 4B1-like"
106886265,"LOC106886265","E3 ubiquitin-protein ligase HECTD3-like"
106886267,"LOC106886267","vitamin D3 hydroxylase-associated protein-like"
106886268,"LOC106886268","uncharacterized LOC106886268"
106886271,"LOC106886271","uncharacterized LOC106886271"
106886272,"LOC106886272","chromosome unknown open reading frame, human C1orf210"
106886273,"LOC106886273","uncharacterized LOC106886273"
106886279,"LOC106886279","riboflavin-binding protein"
106886284,"LOC106886284","vitellogenin-2-like"
106886285,"LOC106886285","uncharacterized LOC106886285"
106886287,"LOC106886287","uncharacterized LOC106886287"
106886288,"LOC106886288","uncharacterized LOC106886288"
106886289,"LOC106886289","uncharacterized LOC106886289"
106886299,"LOC106886299","uncharacterized LOC106886299"
106886304,"LOC106886304","uncharacterized LOC106886304"
106886305,"LOC106886305","uncharacterized LOC106886305"
106886306,"LOC106886306","uncharacterized LOC106886306"
106886307,"LOC106886307","uncharacterized LOC106886307"
106886310,"LOC106886310","uncharacterized LOC106886310"
106886314,"LOC106886314","E3 ubiquitin-protein ligase RNF170-like"
106886315,"LOC106886315","histone H2A deubiquitinase MYSM1-like"
106886316,"LOC106886316","histone H2A deubiquitinase MYSM1"
106886317,"LOC106886317","uncharacterized LOC106886317"
106886318,"LOC106886318","protein zyg-11 homolog B"
106886319,"LOC106886319","zinc finger protein 148-like"
106886322,"LOC106886322","cytochrome c oxidase assembly factor 7"
106886323,"LOC106886323","uncharacterized LOC106886323"
106886325,"LOC106886325","uncharacterized oxidoreductase ZK1290.5-like"
106886340,"LOC106886340","transmembrane protein 56-B-like"
106886345,"LOC106886345","uncharacterized LOC106886345"
106886346,"LOC106886346","uncharacterized LOC106886346"
106886360,"LOC106886360","uncharacterized LOC106886360"
106886364,"LOC106886364","uncharacterized LOC106886364"
106886365,"LOC106886365","cytochrome P450 2J2-like"
106886366,"LOC106886366","protein Hook homolog 1-like"
106886367,"LOC106886367","cytochrome P450 2J2-like"
106886382,"LOC106886382","vitamin D3 hydroxylase-associated protein-like"
106886384,"LOC106886384","cytochrome b-c1 complex subunit 6, mitochondrial"
106886398,"LOC106886398","alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5-like"
106886399,"LOC106886399","uncharacterized LOC106886399"
106886400,"LOC106886400","transcription factor BTF3 homolog 4"
106886401,"LOC106886401","transcription factor BTF3 homolog 4-like"
106886405,"LOC106886405","cytochrome P450 4B1-like"
106886410,"LOC106886410","uncharacterized LOC106886410"
106886413,"LOC106886413","uncharacterized LOC106886413"
106886414,"LOC106886414","uncharacterized LOC106886414"
106886427,"LOC106886427","chromosome unknown open reading frame, human C2orf76"
106886432,"LOC106886432","uncharacterized LOC106886432"
106886445,"LOC106886445","uncharacterized LOC106886445"
106886448,"LOC106886448","uncharacterized LOC106886448"
106886461,"LOC106886461","uncharacterized LOC106886461"
106886470,"LOC106886470","uncharacterized LOC106886470"
106886473,"LOC106886473","uncharacterized LOC106886473"
106886475,"LOC106886475","cytochrome c-type heme lyase"
106886488,"LOC106886488","uncharacterized LOC106886488"
106886497,"LOC106886497","pancreatic alpha-amylase-like"
106886500,"LOC106886500","hyphal wall protein 1-like"
106886501,"LOC106886501","Krueppel-like factor 2"
106886508,"LOC106886508","uricase-like"
106886510,"LOC106886510","uncharacterized LOC106886510"
106886512,"LOC106886512","uncharacterized LOC106886512"
106886518,"LOC106886518","retinol dehydrogenase 8-like"
106886526,"LOC106886526","transcription factor HIVEP2-like"
106886528,"LOC106886528","T-cell activation Rho GTPase-activating protein-like"
106886531,"LOC106886531","uncharacterized LOC106886531"
106886532,"LOC106886532","uncharacterized LOC106886532"
106886535,"LOC106886535","uncharacterized LOC106886535"
106886536,"LOC106886536","transcription factor HIVEP2-like"
106886539,"LOC106886539","uncharacterized LOC106886539"
106886550,"LOC106886550","uncharacterized LOC106886550"
106886553,"LOC106886553","uncharacterized LOC106886553"
106886558,"LOC106886558","serine/threonine-protein kinase Sgk3"
106886563,"LOC106886563","uncharacterized LOC106886563"
106886565,"LOC106886565","uncharacterized LOC106886565"
106886567,"LOC106886567","gamma-glutamyl hydrolase-like"
106886568,"LOC106886568","uncharacterized LOC106886568"
106886569,"LOC106886569","gamma-glutamyl hydrolase-like"
106886581,"LOC106886581","uncharacterized LOC106886581"
106886582,"LOC106886582","25-hydroxycholesterol 7-alpha-hydroxylase"
106886583,"LOC106886583","uncharacterized LOC106886583"
106886584,"LOC106886584","uncharacterized LOC106886584"
106886588,"LOC106886588","uncharacterized LOC106886588"
106886589,"LOC106886589","gamma-glutamyl hydrolase-like"
106886590,"LOC106886590","uncharacterized LOC106886590"
106886591,"LOC106886591","chromosome unknown open reading frame, human C8orf34"
106886596,"LOC106886596","poly [ADP-ribose] polymerase 14-like"
106886603,"LOC106886603","pituitary tumor-transforming gene 1 protein-interacting protein-like"
106886607,"LOC106886607","leucine-rich repeat extensin-like protein 3"
106886610,"LOC106886610","putative uncharacterized protein DDB_G0271982"
106886614,"LOC106886614","thioredoxin domain-containing protein 6-like"
106886621,"LOC106886621","uncharacterized LOC106886621"
106886622,"LOC106886622","uncharacterized LOC106886622"
106886623,"LOC106886623","uncharacterized LOC106886623"
106886624,"LOC106886624","uncharacterized LOC106886624"
106886625,"LOC106886625","uncharacterized LOC106886625"
106886626,"LOC106886626","uncharacterized LOC106886626"
106886629,"LOC106886629","lariat debranching enzyme"
106886630,"LOC106886630","uncharacterized LOC106886630"
106886631,"LOC106886631","lariat debranching enzyme-like"
106886642,"LOC106886642","uncharacterized LOC106886642"
106886644,"LOC106886644","uncharacterized LOC106886644"
106886652,"LOC106886652","uncharacterized LOC106886652"
106886654,"LOC106886654","uncharacterized LOC106886654"
106886655,"LOC106886655","tip elongation aberrant protein 3-like"
106886656,"LOC106886656","uncharacterized LOC106886656"
106886658,"LOC106886658","uncharacterized LOC106886658"
106886663,"LOC106886663","uncharacterized LOC106886663"
106886665,"LOC106886665","chromosome unknown open reading frame, human C18orf54"
106886666,"LOC106886666","uncharacterized LOC106886666"
106886670,"LOC106886670","syntaxin-7-like"
106886671,"LOC106886671","vascular non-inflammatory molecule 2-like"
106886672,"LOC106886672","pantetheinase-like"
106886673,"LOC106886673","trace amine-associated receptor 1-like"
106886675,"LOC106886675","glycerol-3-phosphate dehydrogenase 1-like protein"
106886678,"LOC106886678","paired box protein Pax-7"
106886680,"LOC106886680","arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2-like"
106886681,"LOC106886681","uncharacterized LOC106886681"
106886685,"LOC106886685","uncharacterized LOC106886685"
106886688,"LOC106886688","PHD finger protein 13-like"
106886689,"LOC106886689","endothelin-converting enzyme 2-like"
106886691,"LOC106886691","eukaryotic translation initiation factor 4 gamma 1-like"
106886694,"LOC106886694","ubiquitin carboxyl-terminal hydrolase 13-like"
106886695,"LOC106886695","ubiquitin carboxyl-terminal hydrolase 13-like"
106886696,"LOC106886696","uncharacterized LOC106886696"
106886702,"LOC106886702","uncharacterized LOC106886702"
106886705,"LOC106886705","uncharacterized LOC106886705"
106886706,"LOC106886706","uncharacterized LOC106886706"
106886710,"LOC106886710","uncharacterized LOC106886710"
106886719,"LOC106886719","endothelin-converting enzyme 2-like"
106886720,"LOC106886720","mitochondrial ubiquitin ligase activator of nfkb 1-A-like"
106886722,"LOC106886722","methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial-like"
106886733,"LOC106886733","uncharacterized LOC106886733"
106886735,"LOC106886735","uncharacterized LOC106886735"
106886736,"LOC106886736","uncharacterized LOC106886736"
106886739,"LOC106886739","uncharacterized LOC106886739"
106886747,"LOC106886747","uncharacterized LOC106886747"
106886748,"LOC106886748","multiple epidermal growth factor-like domains protein 6"
106886749,"LOC106886749","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like"
106886753,"LOC106886753","ankyrin-2-like"
106886755,"LOC106886755","NF-kappa-B inhibitor delta-like"
106886757,"LOC106886757","uncharacterized LOC106886757"
106886765,"LOC106886765","uncharacterized LOC106886765"
106886773,"LOC106886773","transmembrane protein 136-like"
106886774,"LOC106886774","uncharacterized LOC106886774"
106886775,"LOC106886775","transmembrane protein 136-like"
106886776,"LOC106886776","5-hydroxytryptamine receptor 5A-like"
106886786,"LOC106886786","uncharacterized LOC106886786"
106886795,"LOC106886795","uncharacterized LOC106886795"
106886797,"LOC106886797","unconventional myosin-Ih-like"
106886798,"LOC106886798","unconventional myosin-Ih-like"
106886810,"LOC106886810","uncharacterized LOC106886810"
106886813,"LOC106886813","EF-hand calcium-binding domain-containing protein 6-like"
106886814,"LOC106886814","uncharacterized LOC106886814"
106886817,"LOC106886817","uncharacterized LOC106886817"
106886818,"LOC106886818","killer cell lectin-like receptor subfamily F member 1"
106886819,"LOC106886819","gamma-aminobutyric acid receptor-associated protein-like 1"
106886820,"LOC106886820","gamma-aminobutyric acid receptor-associated protein-like 1"
106886822,"LOC106886822","olfactory receptor 10R2-like"
106886823,"LOC106886823","olfactory receptor 2A1/2A42-like"
106886824,"LOC106886824","histone H2A-beta, sperm-like"
106886826,"LOC106886826","histone H2A-beta, sperm-like"
106886827,"LOC106886827","ovostatin"
106886828,"LOC106886828","murinoglobulin-2"
106886829,"LOC106886829","alpha-2-macroglobulin-like protein 1"
106886831,"LOC106886831","homeobox protein NANOG-like"
106886832,"LOC106886832","TRPM8 channel-associated factor 2-like"
106886834,"LOC106886834","TRPM8 channel-associated factor 1-like"
106886837,"LOC106886837","EF-hand calcium-binding domain-containing protein 6-like"
106886839,"LOC106886839","tubulin--tyrosine ligase-like protein 12"
106886842,"LOC106886842","C-type lectin domain family 4 member E-like"
106886843,"LOC106886843","C-type lectin domain family 12 member B-like"
106886844,"LOC106886844","natural killer cells antigen CD94-like"
106886845,"LOC106886845","C3a anaphylatoxin chemotactic receptor-like"
106886846,"LOC106886846","C->U-editing enzyme APOBEC-1-like"
106886847,"LOC106886847","C-type lectin domain family 7 member A-like"
106886849,"LOC106886849","killer cell lectin-like receptor subfamily G member 1"
106886850,"LOC106886850","uncharacterized LOC106886850"
106886851,"LOC106886851","histone H2A-beta, sperm-like"
106886853,"LOC106886853","killer cell lectin-like receptor subfamily F member 1"
106886854,"LOC106886854","uncharacterized LOC106886854"
106886855,"LOC106886855","natural killer cells antigen CD94-like"
106886856,"LOC106886856","uncharacterized LOC106886856"
106886857,"LOC106886857","C->U-editing enzyme APOBEC-1-like"
106886858,"LOC106886858","homeobox protein NANOG-like"
106886865,"LOC106886865","alpha-2-macroglobulin-like protein 1"
106886869,"LOC106886869","alpha-2-macroglobulin-like"
106886870,"LOC106886870","alpha-2-macroglobulin-like protein 1"
106886871,"LOC106886871","alpha-2-macroglobulin-like protein 1"
106886875,"LOC106886875","alpha-2-macroglobulin-like"
106886876,"LOC106886876","ovostatin-like"
106886877,"LOC106886877","ovostatin-like"
106886883,"LOC106886883","uncharacterized LOC106886883"
106886884,"LOC106886884","patatin-like phospholipase domain-containing protein 3"
106886885,"LOC106886885","solute carrier family 2, facilitated glucose transporter member 3"
106886891,"LOC106886891","sorting and assembly machinery component 50 homolog"
106886894,"LOC106886894","uncharacterized LOC106886894"
106886895,"LOC106886895","C-type lectin domain family 2 member L-like"
106886898,"LOC106886898","C-type lectin domain family 4 member A-like"
106886903,"LOC106886903","uncharacterized LOC106886903"
106886904,"LOC106886904","C-type lectin domain family 2 member L-like"
106886908,"LOC106886908","uncharacterized LOC106886908"
106886910,"LOC106886910","collagen alpha-3(V) chain-like"
106886911,"LOC106886911","noelin-2-like"
106886918,"LOC106886918","LIM homeobox transcription factor 1-alpha-like"
106886919,"LOC106886919","hepatic lectin-like"
106886920,"LOC106886920","LIM homeobox transcription factor 1-alpha-like"
106886921,"LOC106886921","serine/arginine repetitive matrix protein 1-like"
106886925,"LOC106886925","myosin-M heavy chain-like"
106886927,"LOC106886927","microtubule-associated proteins 1A/1B light chain 3C-like"
106886935,"LOC106886935","uncharacterized LOC106886935"
106886937,"LOC106886937","guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11-like"
106886938,"LOC106886938","probable acyl-CoA dehydrogenase 6"
106886940,"LOC106886940","ankyrin repeat and SOCS box protein 4-like"
106886945,"LOC106886945","atherin-like"
106886947,"LOC106886947","uncharacterized LOC106886947"
106886948,"LOC106886948","uncharacterized LOC106886948"
106886949,"LOC106886949","uncharacterized LOC106886949"
106886953,"LOC106886953","lanosterol 14-alpha demethylase"
106886954,"LOC106886954","uncharacterized LOC106886954"
106886965,"LOC106886965","methionine aminopeptidase 1"
106886974,"LOC106886974","uncharacterized LOC106886974"
106886975,"LOC106886975","uncharacterized LOC106886975"
106886981,"LOC106886981","uncharacterized LOC106886981"
106886986,"LOC106886986","uncharacterized LOC106886986"
106886990,"LOC106886990","uncharacterized LOC106886990"
106886994,"LOC106886994","uncharacterized LOC106886994"
106887001,"LOC106887001","uncharacterized LOC106887001"
106887003,"LOC106887003","uncharacterized LOC106887003"
106887004,"LOC106887004","ribosome biogenesis protein BMS1 homolog"
106887005,"LOC106887005","ribosome biogenesis protein BMS1 homolog"
106887010,"LOC106887010","tetraspanin-5"
106887011,"LOC106887011","myopalladin-like"
106887013,"LOC106887013","nucleolar RNA helicase 2-like"
106887014,"LOC106887014","cadherin-23-like"
106887016,"LOC106887016","steroidogenic acute regulatory protein, mitochondrial-like"
106887021,"LOC106887021","methionine aminopeptidase 1-like"
106887026,"LOC106887026","microsomal triglyceride transfer protein large subunit-like"
106887029,"LOC106887029","uncharacterized LOC106887029"
106887030,"LOC106887030","uncharacterized LOC106887030"
106887031,"LOC106887031","DPY30 domain-containing protein 1-like"
106887038,"LOC106887038","uncharacterized LOC106887038"
106887039,"LOC106887039","uncharacterized LOC106887039"
106887041,"LOC106887041","protein NDNF-like"
106887048,"LOC106887048","microsomal triglyceride transfer protein large subunit-like"
106887050,"LOC106887050","rap1 GTPase-GDP dissociation stimulator 1-like"
106887054,"LOC106887054","uncharacterized LOC106887054"
106887055,"LOC106887055","uncharacterized LOC106887055"
106887056,"LOC106887056","uncharacterized LOC106887056"
106887057,"LOC106887057","uncharacterized LOC106887057"
106887058,"LOC106887058","uncharacterized LOC106887058"
106887060,"LOC106887060","uncharacterized LOC106887060"
106887062,"LOC106887062","centromere-associated protein E-like"
106887064,"LOC106887064","uncharacterized LOC106887064"
106887065,"LOC106887065","uncharacterized LOC106887065"
106887066,"LOC106887066","uncharacterized LOC106887066"
106887069,"LOC106887069","uncharacterized LOC106887069"
106887070,"LOC106887070","uncharacterized LOC106887070"
106887072,"LOC106887072","uncharacterized LOC106887072"
106887074,"LOC106887074","uncharacterized LOC106887074"
106887075,"LOC106887075","hexokinase-1"
106887076,"LOC106887076","putative hexokinase HKDC1"
106887088,"LOC106887088","uncharacterized LOC106887088"
106887092,"LOC106887092","proactivator polypeptide-like"
106887094,"LOC106887094","ATP-dependent RNA helicase SUPV3L1, mitochondrial-like"
106887095,"LOC106887095","ATP-dependent RNA helicase SUPV3L1, mitochondrial"
106887098,"LOC106887098","uncharacterized LOC106887098"
106887106,"LOC106887106","uncharacterized LOC106887106"
106887109,"LOC106887109","uncharacterized LOC106887109"
106887117,"LOC106887117","uncharacterized LOC106887117"
106887118,"LOC106887118","pulmonary surfactant-associated protein A-like"
106887120,"LOC106887120","uncharacterized LOC106887120"
106887121,"LOC106887121","uncharacterized LOC106887121"
106887128,"LOC106887128","dnaJ homolog subfamily C member 9-like"
106887129,"LOC106887129","dnaJ homolog subfamily C member 9-like"
106887132,"LOC106887132","chromosome unknown open reading frame, human C10orf105"
106887133,"LOC106887133","uncharacterized LOC106887133"
106887135,"LOC106887135","uncharacterized LOC106887135"
106887142,"LOC106887142","uncharacterized LOC106887142"
106887147,"LOC106887147","uncharacterized LOC106887147"
106887148,"LOC106887148","core histone macro-H2A.2"
106887151,"LOC106887151","uncharacterized LOC106887151"
106887153,"LOC106887153","myopalladin-like"
106887156,"LOC106887156","myopalladin-like"
106887160,"LOC106887160","solute carrier family 22 member 15-like"
106887162,"LOC106887162","nucleolar RNA helicase 2-like"
106887164,"LOC106887164","nucleolar RNA helicase 2-like"
106887165,"LOC106887165","uncharacterized LOC106887165"
106887167,"LOC106887167","synaptotagmin-12-like"
106887171,"LOC106887171","uncharacterized LOC106887171"
106887172,"LOC106887172","ras-related and estrogen-regulated growth inhibitor-like"
106887174,"LOC106887174","synembryn-A-like"
106887179,"LOC106887179","cytochrome P450 1B1 pseudogene"
106887180,"LOC106887180","uncharacterized LOC106887180"
106887182,"LOC106887182","olfactory receptor 1052-like"
106887183,"LOC106887183","olfactory receptor 1052-like"
106887184,"LOC106887184","olfactory receptor-like protein COR6"
106887185,"LOC106887185","SITS-binding protein-like"
106887186,"LOC106887186","synaptotagmin-12-like"
106887187,"LOC106887187","synaptotagmin-12-like"
106887188,"LOC106887188","radial spoke head protein 4 homolog A-like"
106887195,"LOC106887195","SRC kinase signaling inhibitor 1-like"
106887196,"LOC106887196","vacuolar protein sorting-associated protein 51 homolog"
106887197,"LOC106887197","olfactory receptor-like protein COR8"
106887198,"LOC106887198","uncharacterized LOC106887198"
106887203,"LOC106887203","inner centromere protein-like"
106887204,"LOC106887204","mitochondrial sodium/hydrogen exchanger 9B2-like"
106887205,"LOC106887205","prolactin-releasing peptide receptor-like"
106887207,"LOC106887207","secretin-like"
106887210,"LOC106887210","uncharacterized LOC106887210"
106887212,"LOC106887212","dispanin subfamily A member 2b-like"
106887213,"LOC106887213","dispanin subfamily A member 2b-like"
106887218,"LOC106887218","uncharacterized LOC106887218"
106887220,"LOC106887220","proline-rich proteoglycan 2-like"
106887223,"LOC106887223","uncharacterized LOC106887223"
106887227,"LOC106887227","NACHT, LRR and PYD domains-containing protein 3-like"
106887229,"LOC106887229","synembryn-A"
106887232,"LOC106887232","uncharacterized LOC106887232"
106887233,"LOC106887233","uncharacterized LOC106887233"
106887235,"LOC106887235","protein-L-isoaspartate(D-aspartate) O-methyltransferase-like"
106887236,"LOC106887236","transaldolase-like"
106887237,"LOC106887237","transaldolase"
106887238,"LOC106887238","uncharacterized LOC106887238"
106887245,"LOC106887245","uncharacterized LOC106887245"
106887246,"LOC106887246","chromosome unknown open reading frame, human C15orf62"
106887248,"LOC106887248","uncharacterized LOC106887248"
106887258,"LOC106887258","ras-related and estrogen-regulated growth inhibitor-like"
106887260,"LOC106887260","uncharacterized LOC106887260"
106887267,"LOC106887267","cytochrome P450 2U1"
106887270,"LOC106887270","chromosome unknown open reading frame, human C7orf57"
106887280,"LOC106887280","uncharacterized LOC106887280"
106887281,"LOC106887281","uncharacterized LOC106887281"
106887282,"LOC106887282","uncharacterized LOC106887282"
106887284,"LOC106887284","uncharacterized LOC106887284"
106887287,"LOC106887287","probable 2-ketogluconate reductase"
106887288,"LOC106887288","uncharacterized LOC106887288"
106887289,"LOC106887289","putative ribosome-binding factor A, mitochondrial"
106887290,"LOC106887290","glyoxylate reductase/hydroxypyruvate reductase-like"
106887293,"LOC106887293","uncharacterized LOC106887293"
106887295,"LOC106887295","uncharacterized LOC106887295"
106887297,"LOC106887297","UPF0500 protein C1orf216 homolog"
106887299,"LOC106887299","uncharacterized LOC106887299"
106887300,"LOC106887300","uncharacterized LOC106887300"
106887301,"LOC106887301","uncharacterized LOC106887301"
106887302,"LOC106887302","uncharacterized LOC106887302"
106887303,"LOC106887303","uncharacterized LOC106887303"
106887304,"LOC106887304","uncharacterized LOC106887304"
106887310,"LOC106887310","uncharacterized LOC106887310"
106887311,"LOC106887311","cadherin-12 pseudogene"
106887320,"LOC106887320","uncharacterized LOC106887320"
106887321,"LOC106887321","uncharacterized LOC106887321"
106887324,"LOC106887324","phosphatase and actin regulator 1-like"
106887325,"LOC106887325","muskelin-like"
106887326,"LOC106887326","glycine-rich cell wall structural protein 1.0-like"
106887330,"LOC106887330","kinesin-like protein KIF13A"
106887331,"LOC106887331","protein DEK-like"
106887337,"LOC106887337","putative ribosome-binding factor A, mitochondrial"
106887338,"LOC106887338","collagen alpha-1(XV) chain-like"
106887340,"LOC106887340","ovalbumin-like"
106887341,"LOC106887341","ovalbumin-related protein Y-like"
106887342,"LOC106887342","uncharacterized LOC106887342"
106887345,"LOC106887345","ovalbumin-related protein X-like"
106887348,"LOC106887348","thiopurine S-methyltransferase-like"
106887349,"LOC106887349","carboxymethylenebutenolidase homolog"
106887350,"LOC106887350","probable 2-ketogluconate reductase"
106887351,"LOC106887351","uncharacterized LOC106887351"
106887355,"LOC106887355","uncharacterized LOC106887355"
106887357,"LOC106887357","uncharacterized LOC106887357"
106887358,"LOC106887358","carboxymethylenebutenolidase homolog"
106887359,"LOC106887359","uncharacterized LOC106887359"
106887361,"LOC106887361","uncharacterized LOC106887361"
106887363,"LOC106887363","carboxymethylenebutenolidase homolog"
106887364,"LOC106887364","tektin-3-like"
106887369,"LOC106887369","serine/threonine-protein kinase SBK2-like"
106887370,"LOC106887370","uncharacterized LOC106887370"
106887371,"LOC106887371","uncharacterized LOC106887371"
106887372,"LOC106887372","uncharacterized LOC106887372"
106887374,"LOC106887374","uncharacterized LOC106887374"
106887375,"LOC106887375","U1 small nuclear ribonucleoprotein C-like"
106887376,"LOC106887376","uncharacterized LOC106887376"
106887377,"LOC106887377","uncharacterized LOC106887377"
106887378,"LOC106887378","uncharacterized LOC106887378"
106887379,"LOC106887379","uncharacterized LOC106887379"
106887380,"LOC106887380","tubulin beta-1 chain"
106887382,"LOC106887382","tubulin beta-2 chain-like"
106887386,"LOC106887386","chromosome unknown open reading frame, human C6orf52"
106887387,"LOC106887387","transmembrane protein 14C-like"
106887391,"LOC106887391","doublecortin domain-containing protein 2-like"
106887392,"LOC106887392","uncharacterized LOC106887392"
106887400,"LOC106887400","uncharacterized LOC106887400"
106887402,"LOC106887402","uncharacterized LOC106887402"
106887403,"LOC106887403","uncharacterized LOC106887403"
106887405,"LOC106887405","alcohol dehydrogenase class-3"
106887407,"LOC106887407","kinesin-like protein KIF13A"
106887409,"LOC106887409","phosphatase and actin regulator 1"
106887412,"LOC106887412","alcohol dehydrogenase 1"
106887413,"LOC106887413","chromosome unknown open reading frame, human C5orf22"
106887417,"LOC106887417","alcohol dehydrogenase 1-like"
106887418,"LOC106887418","uncharacterized LOC106887418"
106887419,"LOC106887419","uncharacterized LOC106887419"
106887425,"LOC106887425","protein DEK-like"
106887426,"LOC106887426","uncharacterized LOC106887426"
106887427,"LOC106887427","thiopurine S-methyltransferase-like"
106887430,"LOC106887430","chromosome unknown open reading frame, human C5orf49"
106887432,"LOC106887432","mitochondrial sodium/hydrogen exchanger 9B2-like"
106887441,"LOC106887441","uncharacterized LOC106887441"
106887443,"LOC106887443","leukocyte elastase inhibitor-like"
106887445,"LOC106887445","heterochromatin-associated protein MENT-like"
106887446,"LOC106887446","serpin B6-like"
106887448,"LOC106887448","uncharacterized LOC106887448"
